genre,director_popularity,budget_musd,runtime_min,release_year,social_buzz,critic_score,star_power,audience_rating
SciFi,0.549,41.139,100,2017,0.476,57.519,0.579,7.229
Romance,0.369,42.27,104,1995,0.608,65.518,0.751,9.03
Horror,0.551,35.252,86,1998,0.471,82.822,0.298,6.34
Drama,0.648,23.294,111,2000,0.844,44.146,0.26,9.315
Horror,0.494,23.315,110,2022,0.423,78.969,0.776,7.944
SciFi,0.873,27.202,134,2006,0.563,56.25,0.0,8.926
Drama,0.657,10.295,94,2023,0.536,67.134,0.383,8.518
Animation,0.434,38.386,123,2013,0.178,67.114,0.182,8.319
Animation,0.47,32.815,98,2023,0.062,88.0,0.912,9.555
Action,0.634,50.173,118,1995,0.394,43.334,0.536,7.417
SciFi,0.581,66.96,122,2017,0.284,62.949,0.393,8.048
Drama,0.371,18.915,91,1999,0.67,48.746,0.584,8.175
Romance,0.717,22.865,92,2000,0.556,80.554,0.632,8.888
Action,1.0,11.049,109,2007,0.35,71.269,0.065,8.67
Horror,0.7,39.256,93,2018,1.0,61.017,0.404,8.223
Action,0.634,42.199,86,2025,0.344,56.303,0.33,8.243
Romance,0.324,33.721,122,2022,0.09,46.557,0.59,6.805
Romance,0.345,19.244,122,1998,0.51,54.397,0.244,8.308
Animation,0.437,47.595,108,2000,0.427,37.17,0.522,8.14
Drama,0.295,22.584,103,2024,0.604,56.629,0.573,8.224
Drama,0.661,39.724,135,2013,0.288,87.615,0.869,8.559
SciFi,0.571,41.69,123,2011,0.473,46.03,0.197,8.137
SciFi,0.585,0.5,106,2021,0.356,75.275,0.679,6.58
SciFi,0.255,41.482,99,2014,0.866,52.181,0.405,9.929
Drama,0.398,32.343,90,2018,0.702,36.218,0.463,7.743
Romance,0.449,49.508,101,2001,0.599,87.99,0.281,7.422
Comedy,0.788,27.457,127,2017,0.423,49.594,0.202,8.12
SciFi,0.244,9.906,100,2008,0.257,36.761,0.0,6.021
Horror,0.587,12.966,118,2016,0.522,76.082,0.569,8.607
Romance,0.0,29.899,138,2017,0.536,55.103,0.272,7.043
Horror,0.822,48.123,108,2018,0.001,56.033,0.302,6.464
Romance,0.476,24.806,131,2024,0.309,75.546,0.59,7.342
SciFi,0.811,38.208,118,2022,0.982,84.345,0.157,10.0
Romance,0.335,16.527,124,2018,0.156,49.302,0.703,7.195
Comedy,0.578,29.388,133,1998,0.405,53.626,0.684,7.825
SciFi,0.463,30.906,108,2009,0.464,56.578,0.626,8.743
Action,0.542,9.212,117,2020,0.324,52.323,0.396,7.885
Comedy,0.329,47.529,105,2020,0.241,64.498,0.393,7.987
Comedy,0.719,15.196,103,2025,0.682,65.308,0.193,9.799
Romance,0.492,52.27,111,2009,0.522,86.468,0.663,8.913
Action,0.428,17.97,141,2007,0.197,64.004,0.901,8.73
Animation,0.537,10.892,129,2009,0.291,66.042,0.373,7.562
Action,0.615,27.097,127,1995,0.416,57.791,0.377,7.778
Romance,0.399,23.755,113,2012,0.744,37.888,0.486,7.338
Animation,0.808,20.81,119,2005,0.728,70.686,0.523,9.669
Action,0.637,20.392,105,2003,0.271,74.009,0.32,8.551
Horror,0.385,13.555,96,2019,0.231,64.884,0.424,7.489
SciFi,0.347,50.725,126,2004,0.341,57.43,0.719,7.791
Animation,0.379,15.603,102,2007,0.472,73.455,0.034,7.843
Drama,0.772,15.337,80,2020,0.743,48.936,0.536,8.751
Animation,0.404,27.391,130,2012,0.511,58.953,0.469,8.656
Romance,0.819,21.395,122,2015,0.582,58.317,0.64,9.472
Drama,0.543,38.915,119,2022,0.035,65.298,0.0,6.916
Action,0.413,28.585,115,1998,0.607,83.705,0.724,8.971
Romance,0.449,24.292,86,2005,0.134,51.67,0.52,6.662
Comedy,0.241,16.912,104,2005,0.647,62.658,0.33,8.952
Romance,0.486,13.976,114,2018,0.387,56.589,0.749,7.1
Horror,0.616,21.161,107,2014,0.677,70.997,0.743,7.622
Comedy,0.465,61.173,115,1995,0.546,77.416,0.214,8.876
Animation,0.257,2.444,92,2012,0.465,96.708,0.147,7.679
Comedy,0.405,37.963,113,2004,0.098,76.791,0.72,8.77
Action,0.602,14.815,85,2020,0.877,62.409,0.506,8.622
Comedy,0.71,62.996,88,2018,0.0,60.995,0.0,8.558
Comedy,0.585,43.296,115,1996,0.352,49.2,0.564,7.544
Horror,0.542,27.1,105,2025,0.406,37.033,0.437,7.666
SciFi,0.365,16.81,103,2007,0.259,81.351,0.654,7.533
Horror,0.64,28.18,87,2006,0.757,47.851,0.524,7.454
Comedy,0.356,19.919,113,2011,0.393,56.89,0.592,8.549
Romance,0.62,9.857,98,1998,0.614,47.991,0.533,7.892
Animation,0.615,20.501,115,1999,0.367,61.039,0.451,8.284
SciFi,0.573,37.214,125,2007,0.359,49.327,0.312,8.679
Romance,0.537,45.762,77,2001,0.0,79.78,0.603,7.498
Animation,0.406,34.426,87,2014,0.288,58.678,0.335,7.911
Horror,0.319,25.345,106,2007,0.41,69.74,0.646,8.975
SciFi,0.35,4.278,102,2023,0.404,61.82,0.453,7.652
Action,0.269,48.348,122,2023,0.127,47.977,0.844,7.365
Romance,0.31,36.54,126,2008,0.226,68.472,0.946,8.271
SciFi,0.31,41.022,79,2021,0.463,58.575,0.69,8.651
Comedy,0.571,26.64,94,2003,0.319,73.813,0.864,8.851
Action,0.245,15.568,108,2001,0.417,52.916,0.406,7.863
Romance,0.366,24.034,91,2014,0.427,61.376,0.873,8.204
Animation,0.294,21.196,106,2012,0.32,61.118,0.42,8.587
Romance,0.413,34.884,114,2002,0.405,43.043,0.628,7.956
Horror,0.618,36.057,83,2014,0.372,42.791,0.844,9.058
Action,0.625,3.688,90,1997,0.56,74.773,0.569,8.362
Horror,0.527,43.761,103,2015,0.109,61.887,0.006,6.221
Animation,0.606,45.622,139,2024,0.533,69.091,0.306,9.704
SciFi,0.557,23.402,90,2016,0.68,67.492,0.646,8.791
Drama,0.535,16.242,94,2011,0.703,88.285,0.538,9.948
Romance,0.377,46.003,80,2006,0.236,87.566,0.595,9.685
Horror,0.737,21.614,108,1998,0.755,48.448,0.394,7.9
SciFi,0.584,59.529,101,2021,0.551,54.039,0.272,8.632
Horror,0.542,4.95,126,2009,0.433,88.764,0.199,7.024
Horror,0.517,0.5,74,2016,0.365,39.338,0.301,5.94
SciFi,0.877,31.73,110,2016,0.61,64.896,0.271,8.58
Drama,0.458,10.741,135,2003,0.67,87.656,0.647,8.781
Romance,0.601,53.248,117,2001,0.378,79.518,0.09,7.558
Action,0.773,49.742,99,2016,0.471,65.08,0.892,8.269
Animation,0.223,32.319,70,2023,0.535,54.271,0.41,8.456
SciFi,0.81,27.99,120,2013,0.711,78.217,0.0,9.493
Action,0.3,29.767,106,1998,0.357,59.679,0.237,7.65
Comedy,0.471,24.978,114,2006,0.353,57.43,0.325,7.721
Horror,0.677,26.457,116,2008,0.74,60.588,0.27,8.504
Comedy,0.372,0.5,91,2016,0.515,71.819,0.477,7.631
Horror,0.582,22.22,117,2010,0.111,68.205,0.354,5.367
Animation,0.502,17.367,96,2005,0.546,52.641,0.201,7.746
Horror,0.597,35.219,112,2021,0.687,53.764,0.301,7.894
SciFi,0.663,4.426,100,2006,0.626,65.948,0.932,7.451
Comedy,0.243,19.909,70,2004,0.333,51.238,0.795,6.473
Action,0.526,20.958,118,2015,0.985,56.865,0.136,7.698
Horror,0.323,15.655,113,2000,0.422,57.781,0.68,6.911
SciFi,0.242,22.665,100,2009,0.614,30.216,0.496,6.71
Horror,0.391,34.92,133,2016,0.558,64.744,0.913,8.309
Horror,0.362,34.345,113,2023,0.418,65.837,0.54,7.255
Action,0.72,42.645,139,2007,0.793,60.878,0.676,9.073
Comedy,0.774,20.954,108,1996,0.244,39.519,0.371,8.216
Animation,0.346,26.982,72,2017,0.724,45.555,0.418,7.249
SciFi,0.59,10.329,118,2012,0.415,77.891,0.062,7.624
Horror,0.427,44.453,111,2011,0.53,76.626,0.055,7.558
Action,0.687,23.347,93,2019,0.466,65.292,0.311,8.718
Comedy,0.573,11.902,121,2008,0.979,57.932,0.592,8.871
Horror,0.302,31.12,115,2015,0.528,90.456,0.883,8.194
Romance,0.46,51.485,98,2001,0.461,70.763,0.374,7.994
SciFi,0.776,7.727,116,2010,0.519,67.745,0.794,8.94
Comedy,0.66,27.888,121,1995,0.69,65.924,0.642,8.378
Drama,0.507,33.922,92,2006,0.069,71.008,0.267,8.849
Comedy,0.825,38.944,125,2001,0.622,74.023,0.384,8.976
Animation,0.522,26.746,95,2009,0.514,100.0,0.628,10.0
Action,0.0,24.365,87,2004,0.564,73.117,0.443,7.784
SciFi,0.173,18.634,108,2015,0.429,78.52,0.851,8.765
Action,0.519,45.946,136,2013,0.542,84.333,0.801,9.517
Animation,0.503,21.668,88,1999,0.425,69.695,0.56,8.708
SciFi,0.221,63.693,110,2006,0.412,50.658,0.194,7.677
Comedy,0.4,22.192,127,2015,0.519,37.879,0.348,7.722
Romance,0.269,46.73,109,2017,0.571,53.419,0.58,8.114
Comedy,0.377,17.229,106,2009,0.425,92.944,0.773,8.536
Action,0.286,26.814,117,2009,0.217,86.384,0.502,8.026
Action,0.588,19.58,100,2014,0.528,88.908,0.33,8.313
Horror,0.612,51.14,110,2004,0.356,55.543,0.821,8.782
Action,0.656,64.024,119,2000,0.618,57.806,0.386,8.839
SciFi,0.375,18.431,89,2013,0.522,64.465,0.739,8.075
Comedy,0.453,10.773,81,2021,0.894,77.979,0.797,9.458
Horror,0.656,6.011,129,2011,0.624,70.545,0.524,7.436
SciFi,0.954,49.758,123,2012,0.377,71.483,0.321,8.172
Comedy,0.261,23.119,109,2013,0.074,54.571,0.716,6.963
Comedy,0.143,34.997,91,2011,0.423,72.505,0.77,8.308
Drama,0.707,19.098,138,2008,0.49,66.417,0.236,8.209
SciFi,0.229,16.049,105,2012,0.671,59.86,0.764,8.19
Horror,0.553,30.005,109,1999,0.544,77.705,0.491,8.194
Animation,0.635,19.778,133,2025,0.426,53.8,0.199,7.938
SciFi,0.531,33.437,104,2006,0.607,73.747,0.379,8.636
SciFi,0.669,2.892,129,2018,0.696,71.197,0.212,8.068
Romance,0.392,3.452,127,1996,0.702,62.633,0.175,7.392
Animation,0.532,14.385,136,2008,0.065,80.112,0.623,7.866
Romance,0.769,2.048,95,1996,0.236,63.532,0.568,6.91
SciFi,0.472,27.212,101,2016,0.471,50.115,0.183,7.99
SciFi,0.68,38.555,111,2005,0.362,81.959,0.661,9.572
Action,0.562,17.13,119,2017,0.592,70.899,0.231,8.29
Romance,0.269,21.658,128,2002,0.494,88.389,0.688,7.776
Action,0.907,41.783,120,2006,0.373,75.755,0.454,9.022
Drama,0.59,42.163,121,2014,0.094,67.767,0.56,8.584
Drama,0.379,43.49,130,1997,0.564,68.259,1.0,8.634
Animation,0.582,19.266,95,2004,0.876,61.939,0.517,9.335
Comedy,0.74,6.066,102,2012,0.098,67.584,0.744,8.733
Action,0.189,52.833,98,1996,0.468,59.386,0.931,8.332
Romance,0.455,35.242,108,2016,0.435,94.063,0.233,7.608
Action,0.391,59.996,78,2011,0.957,71.797,0.483,8.76
SciFi,0.868,38.5,115,2025,0.0,73.939,0.687,8.763
SciFi,0.421,46.379,109,2016,0.452,52.444,0.781,8.658
SciFi,1.0,29.131,115,2003,0.88,43.217,0.524,8.966
SciFi,0.636,26.629,101,1999,0.709,77.538,0.629,9.892
Romance,0.433,23.946,95,2013,0.881,97.619,0.688,9.226
SciFi,0.697,46.063,90,2001,0.315,73.381,0.337,8.069
Comedy,0.266,0.5,123,2019,0.856,92.581,0.69,8.035
SciFi,0.188,25.082,121,1999,0.938,61.334,0.079,8.437
Horror,0.359,21.836,133,2021,0.958,43.459,0.435,8.907
Action,0.531,32.542,130,2014,0.469,55.081,0.426,8.356
Drama,0.803,52.909,122,1999,0.159,64.702,0.443,7.936
Animation,0.328,41.043,115,2008,0.653,65.238,0.457,8.802
Romance,0.705,25.209,101,2001,1.0,78.858,1.0,9.802
Horror,0.347,2.149,122,2019,0.329,88.618,0.606,7.007
SciFi,0.618,48.129,102,2012,0.0,60.164,0.57,7.209
Horror,0.105,38.227,118,2012,0.37,45.622,0.749,6.598
Romance,0.415,39.466,107,2009,0.329,72.641,0.63,7.747
Horror,0.376,62.331,98,2009,0.0,72.913,0.26,7.129
Animation,0.403,2.673,93,2012,0.67,76.644,0.35,8.332
SciFi,0.839,10.705,114,2005,0.427,53.289,0.0,7.909
Action,0.195,49.729,122,2015,0.302,78.861,0.17,8.742
SciFi,0.41,24.267,105,2000,0.477,81.498,0.331,8.09
Animation,0.404,45.792,130,1996,0.312,71.249,0.532,7.768
Romance,0.68,59.094,111,2019,0.495,64.675,0.777,9.595
Action,0.302,16.38,99,2001,0.259,55.969,0.414,7.554
SciFi,0.913,31.281,106,2021,0.846,67.164,0.43,10.0
Action,0.734,32.354,113,2013,0.611,54.253,0.57,8.903
Horror,0.619,29.65,105,2017,0.859,43.168,0.253,8.375
SciFi,0.698,27.413,113,2019,0.427,78.699,0.432,8.992
Horror,0.541,25.422,102,2022,0.523,62.195,0.802,7.476
SciFi,0.452,48.235,116,2015,0.395,63.838,0.445,7.503
Animation,0.664,28.937,99,2011,0.362,46.334,0.341,8.96
Horror,0.378,8.957,107,2010,0.685,35.928,0.522,7.744
Comedy,0.544,30.033,104,2022,0.411,70.492,0.833,8.836
Drama,0.531,10.152,102,1995,0.257,47.254,0.497,7.756
Drama,0.323,29.442,132,2005,0.515,49.546,0.697,9.29
Comedy,0.406,23.399,121,2016,0.219,67.227,0.632,8.16
Comedy,0.206,7.312,96,2020,0.448,78.493,0.0,8.129
SciFi,0.584,27.954,97,2012,0.826,67.31,0.227,9.865
Animation,0.18,61.544,109,2007,0.562,44.805,0.157,7.469
SciFi,0.414,49.447,127,2004,0.44,52.476,0.753,8.322
Horror,0.638,19.909,116,2011,0.314,62.637,0.615,8.078
Action,0.161,26.837,111,2010,0.62,60.121,0.346,8.73
Animation,0.158,26.165,128,2021,0.897,82.963,0.467,9.677
Action,0.494,7.046,115,2011,0.661,73.613,0.967,9.387
Animation,0.692,38.752,127,2016,0.587,64.911,0.447,9.188
Comedy,0.215,25.774,118,2003,0.078,59.799,0.405,6.78
Comedy,0.495,32.601,97,2001,0.29,46.733,0.417,7.416
Animation,0.975,27.667,120,1997,0.301,94.338,0.422,9.348
Action,0.205,34.115,113,2008,0.551,46.77,0.745,8.918
Romance,0.322,23.505,90,2004,0.418,73.664,0.524,6.807
Action,0.831,25.854,102,2021,0.528,72.504,0.134,9.303
Romance,0.599,25.847,93,2002,0.632,62.291,0.653,8.208
Drama,0.258,44.594,96,2023,0.12,57.149,0.758,8.39
Horror,0.539,21.09,112,2019,0.31,80.968,0.245,7.831
Romance,0.551,17.25,94,2012,0.142,45.554,0.581,7.314
Comedy,0.649,44.563,107,2005,0.6,87.296,0.0,9.588
SciFi,0.558,11.703,111,1997,0.867,63.42,0.106,8.397
SciFi,0.416,11.426,114,2021,0.298,69.344,0.22,8.106
Romance,0.635,6.292,97,2016,0.701,74.734,0.566,9.064
Animation,0.702,29.811,109,1999,0.354,51.04,0.411,9.205
Horror,0.601,51.382,102,2024,0.797,50.614,0.0,8.951
Drama,0.377,49.795,108,2014,0.753,63.699,0.645,9.654
Drama,0.926,7.093,129,2006,0.502,74.427,0.629,9.566
SciFi,0.541,19.665,118,2007,0.278,73.926,0.537,8.525
Comedy,0.575,43.681,135,1999,0.281,57.709,0.993,8.496
Romance,0.522,53.862,112,2010,0.129,30.891,0.589,7.648
Animation,0.309,38.349,114,2008,0.17,53.197,0.308,6.744
Horror,0.67,24.091,117,2014,0.793,65.822,0.453,7.648
Drama,0.287,40.019,82,2013,1.0,50.695,0.525,7.498
Action,0.253,45.254,128,2022,0.932,62.331,0.402,8.987
SciFi,0.692,38.95,108,1997,0.0,57.485,0.215,6.719
Drama,0.368,27.844,109,2009,0.22,63.658,0.473,7.471
Animation,0.466,38.728,103,2004,0.183,62.214,0.181,8.556
Comedy,0.585,10.334,100,2004,0.627,45.431,0.476,8.21
SciFi,0.81,42.191,109,2003,0.846,66.591,0.467,9.666
SciFi,0.58,28.476,88,2006,0.569,54.089,0.412,7.43
Animation,0.449,29.334,149,2014,0.435,72.943,0.442,6.549
Animation,0.516,13.627,124,2018,0.388,57.147,0.477,7.697
Romance,0.467,57.644,125,2010,0.59,57.122,0.893,8.758
Horror,0.253,23.948,96,2003,0.809,88.972,1.0,9.043
Horror,0.372,38.823,73,1998,0.382,83.574,0.324,8.136
Romance,0.442,38.528,99,2003,0.562,54.098,0.26,7.494
Romance,0.498,5.578,101,2005,0.413,44.205,0.0,6.643
Action,0.527,31.143,107,1998,0.125,61.393,0.261,8.464
Drama,0.515,33.077,139,2016,0.822,73.245,0.392,8.88
Action,0.44,47.499,120,2007,0.202,38.225,0.0,6.492
Action,0.449,19.196,75,2015,0.621,18.022,0.736,7.764
Romance,0.195,31.652,96,2000,0.539,53.136,0.729,8.058
Action,0.481,57.422,112,2024,0.585,69.569,0.738,9.244
SciFi,0.424,31.235,99,2015,0.712,75.025,0.496,9.006
Action,0.363,25.062,79,1999,0.678,64.642,0.491,8.863
Comedy,0.547,19.962,79,2013,0.892,65.547,0.537,8.182
Horror,0.694,8.293,114,1995,0.196,47.852,0.754,7.239
SciFi,0.4,42.983,104,2016,0.473,69.779,0.861,8.857
Drama,0.003,21.755,124,2019,0.634,62.489,0.663,6.862
Romance,0.324,38.384,131,2023,0.799,79.249,0.0,8.493
Horror,0.49,21.798,118,2013,0.874,66.076,0.747,8.97
Horror,0.223,2.205,103,2009,0.544,64.431,0.379,7.271
Romance,0.597,32.0,117,2009,0.153,93.189,0.314,7.323
Comedy,0.425,33.662,108,1999,0.451,65.205,0.79,8.147
Comedy,0.468,22.435,112,2004,0.571,67.918,0.398,7.555
Action,0.256,32.939,103,2010,0.214,53.343,0.655,7.984
Drama,0.714,0.5,104,2016,0.301,57.758,0.438,7.843
Animation,0.196,38.881,112,1997,0.6,70.695,0.168,8.836
SciFi,0.576,39.649,103,2020,0.434,76.861,0.218,8.55
Horror,0.465,31.579,110,2024,0.808,76.575,0.697,8.667
Animation,0.56,13.543,115,2003,0.599,49.703,0.463,9.152
Action,0.396,10.39,96,2014,0.834,58.526,0.547,8.003
Action,0.378,26.527,151,2014,0.442,48.587,0.823,7.616
Animation,0.465,22.821,102,1996,0.655,90.115,0.24,7.551
Horror,0.382,30.138,114,2006,0.461,61.499,0.761,7.434
Animation,0.812,23.258,112,1996,0.638,60.757,0.564,8.521
Action,0.632,34.732,91,2008,0.612,72.135,0.856,8.853
Drama,0.809,31.536,120,2008,0.666,54.382,0.552,9.79
Horror,0.702,35.374,114,2000,0.835,58.828,0.588,8.529
Drama,0.222,32.314,117,2017,0.316,59.909,0.714,8.727
Horror,0.587,42.111,125,2020,0.277,75.243,0.0,8.251
SciFi,0.353,33.91,104,2022,0.007,60.928,0.559,8.294
Horror,0.441,53.867,109,2005,0.313,55.256,0.571,9.013
SciFi,0.287,42.52,100,1996,0.773,69.214,0.508,8.425
SciFi,0.213,46.84,107,2010,0.393,66.143,0.819,9.381
Comedy,0.525,38.442,119,2015,0.545,64.982,0.428,8.318
Horror,0.708,10.625,126,2019,0.542,80.057,0.798,9.084
Romance,0.872,9.282,114,2022,0.328,54.393,0.388,7.275
Drama,0.358,35.34,127,2020,0.396,71.062,0.866,8.516
Action,0.376,0.5,106,2006,0.592,60.292,0.269,7.65
Drama,0.307,46.134,104,2019,0.192,76.875,1.0,8.994
Horror,0.598,28.015,85,2022,0.666,62.384,0.494,7.8
Drama,0.69,19.38,105,2006,0.539,55.249,0.738,8.576
Romance,0.483,2.538,104,2023,0.409,85.161,0.686,6.755
Animation,0.91,25.734,121,1997,0.98,93.066,0.758,10.0
Action,0.987,33.731,116,1999,0.0,65.706,0.152,7.926
Drama,0.238,41.375,125,2008,0.382,44.75,0.624,7.869
Animation,0.57,39.136,83,2011,0.342,52.811,0.302,8.816
Drama,0.205,31.931,91,2009,0.441,62.34,0.625,8.308
Drama,0.381,32.103,124,2004,0.51,60.365,0.334,8.731
Comedy,0.413,23.976,100,2000,0.465,77.268,0.175,7.893
Comedy,0.4,65.477,142,2013,0.636,73.314,0.629,9.601
Action,0.22,0.5,119,2000,0.719,57.535,0.473,8.439
Animation,0.572,40.144,123,2005,0.869,98.025,0.215,9.589
Romance,0.437,13.661,101,2013,1.0,51.585,0.112,7.91
Drama,0.052,20.922,87,2023,0.864,70.627,0.542,8.816
SciFi,0.617,16.284,114,2015,0.546,71.196,0.788,9.119
Comedy,0.165,48.465,112,2009,0.222,31.175,0.748,7.345
Horror,0.387,48.622,140,2006,0.31,45.963,0.738,6.779
Action,0.587,26.985,123,2009,0.575,60.438,0.462,7.943
Horror,0.555,18.318,123,2008,0.0,62.921,0.244,7.205
Comedy,0.268,34.461,126,2022,0.277,62.853,0.805,7.894
Horror,0.674,38.122,123,2012,0.367,46.116,0.576,8.086
Animation,0.432,15.963,122,1996,0.594,53.588,0.249,7.643
Romance,0.455,30.796,121,2025,0.503,51.454,0.225,8.454
Drama,0.708,14.857,118,2017,0.463,62.156,0.527,8.018
Action,0.346,21.725,94,2003,0.533,53.17,0.295,7.662
SciFi,0.405,29.698,107,2003,0.545,69.447,0.282,9.308
Comedy,0.459,33.861,96,2025,0.772,57.333,0.663,7.601
SciFi,0.413,37.293,129,2019,0.846,79.028,0.012,8.313
Animation,0.702,7.745,106,2006,0.883,81.284,0.687,9.756
SciFi,0.471,24.89,135,2008,0.205,92.809,0.616,8.547
Comedy,0.675,6.723,88,2025,0.362,46.753,0.451,6.683
Action,0.394,1.014,126,1998,0.738,34.129,0.286,6.838
Drama,0.639,42.419,128,2005,0.476,71.005,0.688,9.073
Comedy,0.4,35.17,103,2002,0.439,74.632,0.761,8.636
Animation,0.517,24.103,113,1996,0.084,66.281,0.561,7.686
Horror,0.274,38.405,117,1997,0.489,67.043,0.606,7.978
SciFi,0.619,61.013,115,1997,0.713,80.156,0.828,9.462
Drama,0.759,39.42,124,2018,0.275,53.41,0.921,9.417
Animation,0.639,30.921,114,2023,0.69,65.035,0.477,9.189
SciFi,0.051,40.117,96,2017,0.272,56.402,0.652,7.488
Drama,0.709,28.153,94,2019,0.477,72.67,0.488,9.288
Animation,0.569,22.04,119,2018,0.716,68.376,0.653,9.72
SciFi,0.474,7.222,115,2008,0.35,57.559,0.976,8.128
Animation,0.57,41.481,76,2006,0.892,100.0,0.382,9.858
Horror,0.203,26.802,121,2017,0.671,59.147,0.438,9.193
Action,0.25,23.451,117,2001,0.0,39.232,0.842,8.012
Romance,0.16,30.143,112,2019,0.166,70.294,0.152,6.738
SciFi,0.633,72.254,96,2011,0.423,90.22,0.648,9.587
Horror,0.557,65.579,134,2021,0.576,85.541,0.656,9.505
Romance,0.466,24.078,121,2014,0.582,68.405,0.504,7.364
Animation,0.337,32.65,92,2012,0.504,48.505,0.912,7.21
Action,0.357,60.844,108,1998,0.338,73.705,0.302,8.772
Action,0.63,49.732,115,2000,0.0,56.95,0.507,7.776
Action,0.274,14.184,102,2012,0.371,47.042,0.015,7.255
SciFi,0.647,34.024,97,2016,0.368,40.094,1.0,8.357
Action,0.543,39.927,120,2020,0.497,61.501,0.677,8.565
Action,0.0,50.322,105,2002,0.545,65.325,0.861,7.429
Action,0.259,35.027,104,2000,0.72,66.646,0.016,8.438
SciFi,0.292,28.547,126,1995,0.536,79.552,0.478,7.615
Animation,0.666,7.077,111,2001,0.348,80.207,0.521,8.089
SciFi,0.338,67.714,116,2020,0.839,91.022,0.722,9.917
Drama,0.653,45.207,109,2002,0.054,38.371,0.434,6.947
SciFi,0.461,34.785,115,2001,0.231,61.561,0.582,8.255
Drama,0.288,12.944,117,2001,0.337,70.851,0.129,7.518
SciFi,0.516,32.635,101,2013,0.023,42.943,0.502,7.934
Drama,0.078,47.08,102,2014,0.828,38.9,0.869,8.312
Action,0.311,28.009,115,2016,0.614,67.818,0.02,7.176
Action,0.712,10.667,88,2003,0.661,45.659,0.486,8.978
Horror,0.508,38.528,136,2004,0.577,46.269,0.572,6.851
Action,0.613,33.556,121,1995,0.476,92.023,0.416,8.686
Animation,0.809,36.299,111,2023,0.417,82.586,0.671,10.0
Horror,0.182,47.841,96,2023,1.0,84.306,0.478,8.606
Action,0.287,22.38,126,2013,0.754,98.016,0.32,9.044
Comedy,0.916,9.079,94,2005,0.342,82.46,0.18,8.928
Comedy,0.629,25.853,118,2003,0.608,54.33,0.571,7.961
Drama,0.376,27.714,103,2012,0.164,75.474,1.0,8.471
Comedy,0.293,48.041,111,2025,0.454,68.306,0.463,8.491
Action,0.143,20.368,85,2002,0.495,79.78,0.251,7.12
Animation,0.402,12.955,111,1995,0.769,77.644,0.366,9.32
Action,0.479,53.227,100,2004,0.629,95.561,0.805,9.34
Animation,0.521,14.768,139,2021,0.606,68.211,0.214,8.328
Drama,0.045,23.754,79,2021,0.619,70.23,0.494,8.453
Horror,0.206,13.549,108,1995,0.226,66.615,0.143,6.837
Romance,0.698,39.959,121,2015,0.388,83.46,0.645,9.272
Romance,0.87,24.645,112,2016,0.017,34.971,0.816,6.623
Comedy,0.622,28.466,132,2021,0.405,75.783,0.706,9.161
Horror,0.843,4.697,117,2025,0.382,83.982,0.546,7.924
Action,0.407,39.841,108,2017,0.548,61.155,0.25,7.89
Comedy,0.662,37.627,117,2017,0.459,39.495,0.43,9.205
Horror,0.337,47.442,126,2001,0.932,55.861,0.458,9.174
Horror,0.769,51.565,70,2004,0.019,63.583,0.34,7.637
Action,0.821,27.08,121,2014,0.32,68.436,0.187,8.01
Action,0.607,30.52,99,2016,0.844,68.47,0.739,8.861
Action,0.625,34.312,112,2005,0.756,57.896,0.292,9.474
Romance,0.764,25.856,109,2003,0.424,50.316,0.493,9.034
Comedy,0.458,48.824,106,2013,0.565,73.266,0.273,8.717
Horror,0.618,39.662,101,1998,0.474,48.906,1.0,6.609
Drama,0.503,29.532,75,2004,0.66,58.276,0.774,7.535
SciFi,0.337,59.24,90,2019,1.0,83.173,0.402,10.0
Horror,0.367,38.038,112,2002,0.615,80.439,0.645,9.085
Action,0.958,28.965,123,2017,0.56,49.603,0.397,9.555
Comedy,0.707,34.741,114,2022,0.399,92.821,0.5,8.232
SciFi,0.706,17.394,75,2011,0.166,66.0,0.343,7.971
Horror,0.428,16.105,81,1995,0.349,100.0,0.674,8.408
Action,0.56,22.594,134,2016,0.73,44.064,0.544,8.341
Drama,0.791,51.524,105,2025,0.0,75.573,1.0,9.342
Animation,0.375,25.648,130,2005,0.608,72.375,0.106,7.56
Action,0.421,22.441,115,2025,0.533,49.995,0.669,8.56
Horror,0.53,17.925,110,1998,0.136,56.904,0.929,7.432
Romance,0.05,18.741,101,1998,0.648,49.353,0.0,6.97
Horror,0.469,50.179,123,2006,0.641,52.918,0.325,7.657
Drama,0.526,52.217,106,2015,0.443,56.982,0.148,8.405
SciFi,0.694,38.487,133,2004,0.715,69.666,0.605,9.952
SciFi,0.28,12.522,118,2012,0.567,67.108,0.705,8.628
Action,0.189,35.274,115,2013,0.284,80.458,0.645,9.122
Comedy,0.693,36.504,81,1996,0.943,80.34,0.402,10.0
Horror,0.51,13.617,114,2024,0.286,71.67,0.384,8.037
SciFi,0.804,28.687,132,2008,0.474,64.652,0.614,8.896
Horror,0.303,33.787,96,2018,0.155,44.248,0.529,7.465
Romance,0.469,51.892,104,2020,0.458,72.334,0.621,8.768
Action,0.457,20.865,126,1999,0.548,55.546,0.284,7.162
Comedy,0.248,52.036,123,1999,0.448,65.513,0.572,8.497
Romance,0.283,35.827,126,2002,0.534,70.861,0.809,8.498
Action,0.444,53.251,127,2008,0.982,61.254,0.473,8.401
SciFi,0.555,29.975,95,2018,0.677,47.721,0.257,8.425
